Variável,Dado
Introdução," A patente crise estrutural da educação no Brasil chama a atenção para as dificuldades de financiamento do setor. As recentes mobilizações sociais têm reivindicado a destinação de uma maior quantidade de recursos públicos para a área, o que demanda uma reflexão mais global sobre a distribuição de recursos orçamentários no Brasil. Ao se fazer um exame mais detido do orçamento federal, verifica-se que quase a metade dos recursos aplicados pela União são destinados para o pagamento de juros e amortizações da dívida pública federal. Mais que uma mera decisão política de alocação de recursos, o privilégio do pagamento das obrigações do país perante seus credores tem um rígido embasamento jurídico, o qual, por sua vez, baseia-se em concepções econômicas estritas. Buscou-se, nesta pesquisa, vislumbrar o pano de fundo epistemológico do privilégio do sistema de endividamento público, por meio da análise comparativa com as políticas de financiamento da educação no país."
Metodologia," O procedimento investigativo deu-se, inicialmente, pela busca de dados orçamentários dos últimos anos, que permitissem uma visão quantitativa da alocação de recursos públicos federais no Brasil. Em seguida, procedeu-se à análise do perfil dos gastos públicos  sua origem, seus procedimentos e seus fundamentos legais. A partir desse diagnóstico inicial, pôde-se pesquisar a bibliografia aplicável, que forneceu o instrumental teórico necessário à compreensão das premissas econômicas, políticas e jurídicas que justificam o privilégio  concentrador  no pagamento das obrigações públicas junto aos credores em detrimento de políticas públicas essencialmente redistributivas, como a de educação."
Resultados," O impacto mais imediato da destinação desses montantes ao pagamento das obrigações nacionais perante terceiros é a redução na parcela dos recursos destinada à efetivação de Direitos fundamentais da qual se incumbe o Estado. Em 2011, apenas 2,99% do Orçamento Federal foi destinado a políticas de educação, enquanto que 45,05% teve como destino o pagamento do chamado serviço da dívida. A elevação acelerada da destinação de recursos para tal pagamento acompanha o ritmo da crise que afeta a economia global desde 2008 e é acompanhada por uma crescente diminuição do compromisso público com deveres fundamentais do Estado. Há um grande instrumental jurídico que opera em favor desse regime, desde a Constituição Federal até os regulamentos administrativos, fornecendo-lhe em consequência uma aparência de tecnicidade e neutralidade."
Conclusão," O impacto mais imediato da destinação desses montantes ao pagamento das obrigações nacionais perante terceiros é a redução na parcela dos recursos destinada à efetivação de Direitos fundamentais da qual se incumbe o Estado. Em 2011, apenas 2,99% do Orçamento Federal foi destinado a políticas de educação, enquanto que 45,05% teve como destino o pagamento do chamado serviço da dívida. A elevação acelerada da destinação de recursos para tal pagamento acompanha o ritmo da crise que afeta a economia global desde 2008 e é acompanhada por uma crescente diminuição do compromisso público com deveres fundamentais do Estado. Há um grande instrumental jurídico que opera em favor desse regime, desde a Constituição Federal até os regulamentos administrativos, fornecendo-lhe em consequência uma aparência de tecnicidade e neutralidade."
Palavras-Chave, Dívida Pública Democracia econômica Mercado Financeiro Distribuição de recursos Luta de classes Estado de exceção 
Colaboradores, Alexandre Bernardino Costa Maria Lucia Fattorelli
"Qualidade de vida em pacientes com defeitos maxilofaciais, portadores de próteses faciais",TituloTrabalho
Bolsista, João Guilherme de Sena Lima
Unidade Acadêmica, Odontologia 
Instituição, UnB
Orientador (a), ALINE URSULA ROCHA FERNANDES
Introdução," As pessoas portadoras de deformidades faciais fazem parte de uma população que, na maioria das vezes, não consegue levar uma vida digna, devido ao fato de sofrer uma terrível discriminação social. São inúmeras as razões de perda de partes da face, entre as principais: mutilações decorrentes de cirurgias oncológicas (para retirada de tumores malignos na região de cabeça e pescoço), malformações congênitas, deformidades faciais ocasionadas por queimaduras, acidentes com arma de fogo, acidentes automobilísticos, ataque por animais, entre outras. A arte e a ciência de restaurar essas partes ausentes ou malformadas através de meios artificiais, caracterizam diversos tipos de próteses maxilofaciais. Essas próteses têm a oportunidade de oferecer vida nova a pacientes que se encontram reclusos em suas casas e de reintegrá-los à sociedade. As consequências psicossociais devido a enfermidades ou deformações vêm direcionando várias especialidades para o estudo da qualidade de vida dos pacientes."
Metodologia," Devido à complexidade do assunto, escassez da literatura específica e polêmica do tema, esse estudo utiliza uma medida genérica"
" WHOQOL  Bref desenvolvida pelo Grupo de Qualidade de vida da Organização Mundial de Saúde, que avalia a qualidade de vida em uma perspectiva internacional. O presente trabalho foi desenvolvido na clínica de odontologia do Hospital Universitário de Brasília, com os pacientes reabilitados com próteses maxilofaciais desde 2004, quando o serviço foi implantado. Pacientes de ambos os gêneros, portadores de próteses auriculares, nasais, oculopalpebrais e com idade acima de seis anos, participaram do estudo. Os pacientes reabilitados com próteses faciais, os quais foram convidados pelo telefone a participar do estudo. As entrevistas foram realizadas nos dias de funcionamento do serviço de prótese maxilofacial no HUB. O módulo WHOQOL-BREF é constituído de 26 perguntas, sobre a qualidade de vida geral, físico, psicológico, relações sociais e meio ambiente.",TituloTrabalho
Resultados," Os resultados obtidos demonstram melhora na qualidade de vida dos pacientes, na percepção da qualidade de vida (86,6%), satisfação com a saúde (86,6%), nos domínios físico (77%), psicológico (63,8%), relações sociais (88,8%) e relacionado ao meio ambiente (65%)."
Conclusão," Os resultados obtidos demonstram melhora na qualidade de vida dos pacientes, na percepção da qualidade de vida (86,6%), satisfação com a saúde (86,6%), nos domínios físico (77%), psicológico (63,8%), relações sociais (88,8%) e relacionado ao meio ambiente (65%)."
Palavras-Chave," Prótese maxilofacial, reabilitação, qualidade de vida"
Colaboradores," Prof Dr Antonio Carlos Elias, Profa Dra Rosana Abrahão Mansur Almeida"
Análise de plataformas lipídicas em região de membrana relacionada a fagocitose de Leishmania amazonensis,TituloTrabalho
Bolsista, Joao Heitor Colombelli Manfrao Netto
Unidade Acadêmica, Biologia Celular 
Instituição, UnB
Orientador (a), JOSE RAIMUNDO CORREA
Introdução," As espécies de protozoários do gênero Leishmania diferenciam-se das formas promastigotas para formas amastigotas por exposição dos parasitas ao aumento de temperatura (33°C - 37°C) e redução de pH, sendo estas características semelhantes as observadas no ambiente fagolisossomal no interior de A resposta das Leishmanias a mudança de temperatura está claramente associada com a resposta ao choque térmico que ocorre no momento da infecção do hospedeiro mamífero Contudo, existem crescentes evidências de processos metabólicos que poderiam contribuir para a termotolerância desses parasitos e sua capacidade de se adaptar as condições do hospedeiro mamífero. O tráfego endossomal e a fusão entre endossomas e lisossomas são requeridos para o turnover de proteínas durante a diferenciação promastigota- amastigota. Este mesmo mecanismo é ativado após a fagocitose de microorganismos e ainda está presente na degradação de macromoléculas exógenas e entrada de nutrientes no fagolisossomo em macrófagos"
Metodologia," Manutenção das células e parasitas. Formas promastigotas de Leishmania amazonensis foram cultivadas a 25oC em meio LIT contendo 10% de soro fetal bovino, com passagens semanais. Parasitas de culturas de 6 dias (fase estacionária de crescimento) foram utilizados nos experimentos. Macrófagos e fibroblastos de derme foram mantidos em meio de cultivo D-MEM a 37oC em atmosfera de 5% de CO2. Análise da fagocitose de leishmanias: Macrófagos e fibroblastos mantidos em cultivo foram infectados com L. amazonensis, a infecção foi analisada nos tempos de 15 min, 30 min, 1 e 2 horas. A análise consistiu do processamento de cultivos celulares normais e infectados, tratados e não tatados com filipina e metil beta ciclodextrina para microscopia de luz e eletrônica de transmissão."
Resultados," Células tratadas com metil beta ciclodextrina e com filipina apresentaram um maior número de leishmanias aderidas a sua superfície e como consequência um maior número de leishmanias interiorizadas. Foi também observado um maior número de células tratadas infectadas quando comparada com o seus controles que foram feitos apenas com o diluente dos compostos DMSO. Quando comparados os índices de infecção e de adesão entre os dois tratamentos, células tratadas com metil beta ciclodextrina apresenta todos os índices mais elevados. As análise ultraestruturais confirmaram estes resultados, no entanto algumas células tratadas com filipina sofreram severas alterações morfológicas que sugerem morte celular. Os dados foram tratados estatisticamente pelo teste ANOVA e foi considerado significante resultados com p<0,05."
Conclusão," Células tratadas com metil beta ciclodextrina e com filipina apresentaram um maior número de leishmanias aderidas a sua superfície e como consequência um maior número de leishmanias interiorizadas. Foi também observado um maior número de células tratadas infectadas quando comparada com o seus controles que foram feitos apenas com o diluente dos compostos DMSO. Quando comparados os índices de infecção e de adesão entre os dois tratamentos, células tratadas com metil beta ciclodextrina apresenta todos os índices mais elevados. As análise ultraestruturais confirmaram estes resultados, no entanto algumas células tratadas com filipina sofreram severas alterações morfológicas que sugerem morte celular. Os dados foram tratados estatisticamente pelo teste ANOVA e foi considerado significante resultados com p<0,05."
Palavras-Chave," Leishmania, macrófago, plataformas de lipídio, interação parasita célula hospedeira"
Colaboradores, Profa. Dra. Kelly Grace Magalhães IC Catharine Carrara Nóbrega Apoio Técnico Ingrid Gracielle Martins da Silva
Avaliação clínico-pHmétrica de pacientes operados por megaesôfago chagásico avançado pela técnica de Thal- Hatafuku.,TituloTrabalho
Bolsista, João Henrique Zanotelli dos Santos
Unidade Acadêmica, Medicina 
Instituição, UnB
Orientador (a), PAULO GONCALVES DE OLIVEIRA
